"Team Number","Match Number","Name","Auto Move","Auto Coral Lvl 1","Auto Coral Lvl 2","Auto Coral Lvl 3","Auto Coral Lvl 4","Auto Algae Removed","Auto Algae Processed","Auto Algae Net","Teleop","Teleop Coral Lvl 1","Teleop Coral Lvl 2","Teleop Coral Lvl 3","Teleop Coral Lvl 4","Teleop Algae Removed","Teleop Algae Processed","Teleop Algae Net","End game","Parking","Did Move Game Elements","Match Comment"
"93","5","""Andrew K""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Failed""","","Went wrong way in auto and got e-stopped "
"171","2","""Kiersten""","true","0","0","0","0","0","0","0","""""","0","0","0","0","1","0","0","""""","""Failed""","""Did Move Algae""","Got a coral stuck in it"
"171","9","""Isaac Leal""","true","0","0","0","0","0","0","0","""""","0","1","0","0","1","0","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral""","Had trouble moving once Teleop started  "
"537","3","""Cesar Jimenez""","true","0","0","0","1","0","0","0","""""","1","0","2","4","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral""",""
"706","8","""Cesar Jimemez""","false","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Failed""","","Lost Comps"
"1091","4","""Cesar Jimenez""","true","0","0","0","0","0","0","0","""""","1","0","0","1","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral"""
"1675","7","""Cesar Jimenez""","false","0","0","0","0","0","0","0","""""","3","2","0","0","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral""","No movement of auto"
"1716","8","""Kiersten""","true","0","0","0","0","0","0","0","""""","0","3","4","0","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Alge"""
"2062","4","""Andrew H""","true","0","0","0","0","0","0","0","""""","0","1","0","0","3","2","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge""","Issue with auto direction of motion. Positioning of elevator and robot took time to line up"
"2169","2","""Andrew H""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","2","0","""""","""Docked""","""Did Move Algae"", ""Did Score Alge""","Had a coral stuck in mechanism not allowing movement of intake mechanism to pickup algae. Was only able to intake algae sitting on coral on field"
