"Team Number","Match Number","Name","Auto Move","Auto Coral Lvl 1","Auto Coral Lvl 2","Auto Coral Lvl 3","Auto Coral Lvl 4","Auto Algae Removed","Auto Algae Processed","Auto Algae Net","Teleop","Teleop Coral Lvl 1","Teleop Coral Lvl 2","Teleop Coral Lvl 3","Teleop Coral Lvl 4","Teleop Algae Removed","Teleop Algae Processed","Teleop Algae Net","End game","Parking","Did Move Game Elements","Match Comment"
"93","5","""Andrew K""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Failed""","","Went wrong way in auto and got e-stopped "
"93","14","""Ryan Glaser""","true","0","0","0","0","0","0","0","""""","0","0","0","4","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Move Algae"""
"93","21","""Noah Peck""","false","0","0","0","0","0","0","0","""""","0","0","0","4","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral""","Climbing mechanism broke in climb"
"93","25","""Noah Peck""","true","0","0","0","0","0","0","0","""""","0","0","1","7","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral"""
"171","2","""Kiersten""","true","0","0","0","0","0","0","0","""""","0","0","0","0","1","0","0","""""","""Failed""","""Did Move Algae""","Got a coral stuck in it"
"171","9","""Isaac Leal""","true","0","0","0","0","0","0","0","""""","0","1","0","0","1","0","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral""","Had trouble moving once Teleop started  "
"171","19","""Cam""","true","0","0","0","0","0","0","0","""""","0","1","0","0","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral""","Stopped moving half say through the match, lost comms"
"537","3","""Cesar Jimenez""","true","0","0","0","1","0","0","0","""""","1","0","2","4","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral""",""
"537","12","""Kiersten""","true","0","0","0","0","0","0","0","""""","0","0","2","2","0","0","0","""""","""Docked""","","Very top heavy"
"537","25","""Tanner Pickar""","true","0","0","0","0","0","0","0","""""","0","0","2","4","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral"""
"706","8","""Cesar Jimemez""","false","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Failed""","","Lost Comps"
"706","16","""Simon""","true","0","0","0","0","0","0","0","""""","0","0","0","1","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"""
"1091","4","""Cesar Jimenez\n""","true","0","0","0","0","0","0","0","""""","1","0","0","1","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral"""
"1091","15","""Ian Branch""","false","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Failed""","","Robot did not move, most likely lost comms"
"1091","22","""Noah Peck""","true","0","0","0","0","0","0","0","""""","1","0","2","0","4","0","0","""""","""Failed""","","Panel fell off, auto missed L4"
"1675","7","""Cesar Jimenez""","false","0","0","0","0","0","0","0","""""","3","2","0","0","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral""","No movement of auto"
"1675","14","""Isaac Leal""","false","0","0","0","0","0","0","0","""""","0","3","0","0","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral"""
"1675","22","""Ian Branch""","false","0","0","0","0","0","0","0","""""","0","2","2","0","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge"""
"1716","8","""Kiersten""","true","0","0","0","0","0","0","0","""""","0","3","4","0","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Alge"""
"1716","17","""Simon""","true","1","0","0","0","0","0","0","""""","1","2","0","0","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral"""
"1716","26","""Tanner pickar""","true","0","0","0","0","0","0","0","""""","0","2","4","0","1","1","0","""""","""Docked""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge"""
"2062","4","""Andrew H""","true","0","0","0","0","0","0","0","""""","0","1","0","0","3","2","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge""","Issue with auto direction of motion. Positioning of elevator and robot took time to line up"
"2062","12","""Andrew K""","true","0","0","0","0","0","0","0","""""","1","1","0","0","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral""","Had difficulty scoring algae "
"2062","19","""tanner pickar""","true","0","0","0","0","0","0","0","""""","3","0","0","0","1","0","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"""
"2169","2","""Andrew H""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","2","0","""""","""Docked""","""Did Move Algae"", ""Did Score Alge""","Had a coral stuck in mechanism not allowing movement of intake mechanism to pickup algae. Was only able to intake algae sitting on coral on field"
"2169","11","""Cohen Susler""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Docked""",""
"2169","25","""Cam""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","4","""""","""Docked""","""Did Move Algae"", ""Did Score Alge""","shot 4 but knocked 2 out"
"2194","9","""Cohen Susler""","true","0","0","0","1","0","0","0","""""","0","3","1","3","3","2","1","""""","""Docked""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge"""
"2194","16","""Noah Peck""","false","0","0","0","1","0","0","0","""""","0","1","3","3","1","0","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral""","Algae shot missed, auto missed L 4"
"2194","19","""Noah Peck""","true","0","0","0","1","0","0","0","""""","0","0","0","8","0","0","0","""""","""Deep""","""Did Move Coral"", ""Did Score Coral"""
"2194","24","""cam""","false","0","0","0","1","0","0","0","""""","1","0","4","3","2","0","2","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge"""
"2194","25","""Ian Branch""","true","0","0","0","0","1","1","0","""""","1","0","1","4","2","1","1","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge"""
"2225","3","""Cohen Susler""","true","0","0","0","0","0","0","0","""""","0","0","0","0","2","2","0","""""","""Docked""","""Did Move Algae"", ""Did Score Alge"""
"2225","11","""Cam""","true","0","0","0","0","0","0","0","""""","0","0","0","0","5","5","0","""""","""Deep""","""Did Move Algae"", ""Did Score Alge"""
"2225","19","""Ian Branch""","true","0","0","0","0","0","0","0","""""","0","0","0","0","1","1","0","""""","""Failed""","""Did Move Algae"", ""Did Score Alge""","Lost comms partway through teleop "
"2225","26","""Cam""","true","0","0","0","0","0","0","0","""""","0","0","0","0","2","1","0","""""","""Deep""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge"""
"2509","7","""Cohen Susler""","true","0","0","0","0","0","0","0","""""","0","0","0","0","1","0","0","""""","""Docked""","""Did Move Coral"", ""Did Move Algae"""
"2509","17","""Cam""","true","0","0","0","0","0","0","0","""""","0","0","0","1","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral""","Stopped moving half way through the match"
"2509","25","""Nathan Kruepke""","true","0","0","0","0","0","0","0","""""","0","0","0","1","0","0","0","""""","""Deep""","""Did Move Coral"", ""Did Score Coral"""
"2526","8","""Isaac Leal""","true","1","0","0","0","0","0","0","""""","0","0","0","0","5","0","6","""""","""Failed""","""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge"""
"2526","15","""Cam Kruepke""","true","1","0","0","0","0","0","0","""""","0","0","0","0","8","1","8","""""","""Docked""","""Did Move Algae"", ""Did Score Alge""","8 algae scored, high scorer"
"2526","21","""Tanner Pickar""","true","0","0","0","0","0","0","0","""""","0","0","0","0","6","0","7","""""","""Docked""","""Did Move Algae"", ""Did Score Alge"""
"2526","27","""Nathan Kruepke""","true","1","0","0","0","1","0","0","""""","0","0","0","0","3","0","4","""""","""Failed""","""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge""","Excellent algae but got caught on the barge allowing for no more scoring ."
"2531","2","""Andrew K""","false","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Failed""","","No movement"
"2531","9","""Cam""","true","0","0","0","1","0","0","0","""""","0","0","1","4","2","0","2","""""","""Docked""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge"""
"2531","14","""Jake""","true","0","0","0","0","0","0","0","""""","0","0","0","4","1","0","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"""
"2531","23","""Will Haas""","true","0","0","0","0","0","0","0","""""","0","0","0","2","0","0","0","""""","""Failed""","""Did Score Coral"""
"2826","5","""Andrew H""","true","0","0","0","0","0","0","0","""""","0","0","0","1","1","0","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral""","Had good lineup, but scoring mechanism had some inconsistentcies. "
"2826","16","""Ryan Glaser""","true","0","0","0","0","0","0","0","""""","0","0","0","0","1","0","0","""""","""Docked""","""Did Move Coral"", ""Did Move Algae"""
"2830","4","""Kiersten""","true","0","0","0","0","0","0","0","""""","3","0","0","2","0","0","0","""""","""Failed""","""Did Move Coral"""
"2830","10","""Cam""","true","1","0","0","0","0","0","0","""""","1","0","0","4","1","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral"""
"2830","25","""""","false","0","0","0","0","0","0","0","""""","0","2","2","3","0","0","0","""""","""Failed""","""Did Move Algae"", ""Did Score Alge"""
"2977","2","""Ryan Glaser""","true","0","0","0","0","0","0","0","""""","0","0","1","0","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral"""
"2977","10","""Cesar Jimenez""","true","0","0","0","0","0","0","0","""""","1","0","0","2","3","0","0","""""","""Docked""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"""
"2977","18","""""","false","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Failed""","","Didn't really move"
"2977","27","""Tanner pickar""","false","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Docked""","""Did Move Coral"""
"3055","5","""Kiersten""","true","0","0","0","0","0","0","0","""""","1","0","0","0","0","0","0","""""","""Failed""","","Very slow and struggled to remove coral from robot"
"3055","11","""Isaac Leal""","false","0","0","0","0","0","0","0","""""","1","0","0","0","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral""","Had trouble moving for most of the game"
