Team Number,Match Number,Alliance Color,Scouter Name,Competition,Starting Position,Auto Notes in Speaker,Auto Notes in Amp,Auto Pickup Location,Tele Notes in Speaker,Tele Notes in Amp,Notes in Trap,Where Notes Scored,Climb,Driver Confidence,Intake Preference,Disabled,Defense Ratiing,Comments
93,1,"""Red""","""""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",1,Neither,"""No""",0,""""""
93,6,"""Red""","""Ethan 930""",2024wimi,2,1,0,"""Wing""",7,1,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,"""It got note stuck just below speaker."""
93,12,"""Blue""","""Everett Hilby 5148""",2024wimi,2,1,0,None,9,0,0,"""Subwoofer""","""Harmonized""",1,"""Ground""","""No""",0,""""""
93,35,"""Red""","""""",2024wimi,2,1,0,"""Wing""",8,0,0,"""Subwoofer"", ""Wing""","""Harmonized""",1,"""Ground""","""No""",0,"""Really fast cycle times\nBarely stop before scoring into speaker\nHigh accuracy"""
93,43,"""Red""","""Lawson 930""",2024wimi,2,0,0,None,11,0,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,""""""
93,51,"""Red""","""Nathan 930""",2024wimi,4,1,0,None,9,0,0,"""Subwoofer""","""Harmonized""",1,"""Ground""","""No""",0,"""Very fast at intake system.  """
93,58,"""Red""","""Ellen Halvorsen 6381""",2024wimi,2,1,0,"""Wing""",8,0,0,"""Subwoofer""","""Harmonized""",1,"""Ground""","""No""",0,""""""
93,68,"""Blue""","""AQ6421""",2024wimi,2,1,0,None,9,0,0,None,"""Not Attempted""",1,"""Ground""","""No""",0,"""It's 93"""
93,76,"""Red""","""Aidan L 6421""",2024wimi,2,1,0,None,7,0,0,"""Subwoofer"", ""Wing""","""Harmonized""",1,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
93,82,"""Red""","""Eirian  W 930\n\n""",2024wimi,1,0,0,None,8,0,0,"""Podium""","""Single Climb""",1,"""Ground""","""No""",0,"""Good cycling"""
537,3,"""Blue""","""Aidan6421""",2024wimi,3,0,0,None,2,0,0,None,"""Not Attempted""",2,Neither,"""No""",0,""""""
537,10,"""Red""","""Evan 930""",2024wimi,3,1,0,None,2,1,0,"""Subwoofer""","""Parked""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
537,21,"""Blue""","""Michael 1675""",2024wimi,3,0,0,None,1,5,0,"""Subwoofer"", ""Wing""","""Not Attempted""",1,"""Ground""","""No""",1,""""""
537,29,"""Red""","""Logan K 930""",2024wimi,1,0,0,None,0,2,0,None,"""Parked""",3,"""Ground""","""No""",0,"""Tiny and fast and only scores amp, speaker probably possible"""
537,37,"""Red""","""Landon 6381""",2024wimi,1,0,0,None,5,1,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
537,52,"""Red""","""Liam 6421""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",3,Neither,"""No""",0,"""Enable, but no reaponse."""
537,62,"""Blue""","""Eirian 930""",2024wimi,1,0,0,None,2,0,0,None,"""Not Attempted""",2,"""Source(Fed By Human Player)""","""No""",0,"""They were cycling notes to their Alliance partners."""
537,69,"""Red""","""Casey Frahmann 6421""",2024wimi,1,0,0,None,0,7,0,None,"""Not Attempted""",1,"""Ground""","""No""",0,"""Scores solely in amp, but does very well"""
537,75,"""Red""","""Lauren 5148""",2024wimi,4,0,0,None,3,1,0,"""Subwoofer""","""Not Attempted""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
537,82,"""Blue""","""Leonardo 5148""",2024wimi,4,1,0,"""Center Line""",2,4,0,"""Subwoofer"", ""Podium""","""Parked""",2,"""Ground""","""No""",0,""""""
706,8,"""Red""","""Nathan 6421""",2024wimi,2,0,0,None,0,0,0,None,"""Parked""",3,Neither,"""No""",1,""""""
706,14,"""Red""","""Luke 5148 New Berlin Blitz\n""",2024wimi,1,0,0,None,0,0,0,None,"""Single Climb""",3,"""Ground""","""No""",0,""""""
706,22,"""Blue""","""Michael 1675""",2024wimi,4,0,0,None,0,0,0,None,"""Not Attempted""",3,Neither,"""Yes - Rest Of Match""",0,""""""
706,39,"""Red""","""Jay 1675""",2024wimi,1,0,0,None,0,1,0,None,"""Single Climb""",3,Neither,"""No""",0,"""Seemed confused for the most part and moved around with out scoring"""
706,53,"""Blue""","""Liam 6421""",2024wimi,4,0,0,None,0,0,0,None,"""Attempted But Failed""",3,Neither,"""No""",0,"""Shoots too high"""
706,60,"""Red""","""Alayna 6421""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",3,"""Ground""","""Yes - Rest Of Match""",1,""""""
706,69,"""Red""","""Noah 1675""",2024wimi,1,0,0,None,1,0,0,"""Subwoofer""","""Parked""",3,"""Ground""","""No""",0,""""""
706,76,"""Red""","""""",2024wimi,4,1,0,"""Wing""",0,1,0,None,"""Not Attempted""",1,Neither,"""Yes - Part Of Match""",1,""""""
706,84,"""Blue""","""Boden 930""",2024wimi,1,0,0,None,1,0,0,"""Subwoofer""","""Attempted But Failed""",3,"""Ground""","""No""",0,"""Take too long to aim """
930,4,"""Red""","""Lukas Tonkovic 5148""",2024wimi,2,0,0,None,3,0,0,"""Podium"", ""Wing""","""Parked""",2,"""Ground""","""No""",0,""""""
930,18,"""Blue""","""Zackary k 930""",2024wimi,2,2,0,"""Wing"", ""Center Line""",6,0,0,"""Podium"", ""Wing""","""Not Attempted""",1,"""Ground""","""No""",0,"""Really cool turrent,and very confident"""
930,26,"""Blue""","""Kai 1675""",2024wimi,1,2,0,"""Wing""",7,0,0,"""Subwoofer"", ""Podium"", ""Wing""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
930,34,"""Blue""","""Olive Lens ink 6381""",2024wimi,4,3,0,"""Wing"", ""Center Line""",2,0,0,"""Wing""","""Not Attempted""",2,"""Ground""","""No""",2,""""""
930,45,"""Red""","""Lawson 930""",2024wimi,4,2,0,"""Center Line""",1,0,0,"""Podium"", ""Wing""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
930,54,"""Red""","""Alex 6421""",2024wimi,2,1,0,"""Wing"", ""Center Line""",6,0,0,"""Podium""","""Parked""",1,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
930,60,"""Red""","""Noah Dinan 1675""",2024wimi,4,1,0,None,8,0,0,"""Podium""","""Parked""",1,"""Ground""","""No""",0,""""""
930,66,"""Red""","""Asher v 930 :P""",2024wimi,2,0,0,"""Wing""",0,0,0,None,"""Parked""",2,"""Ground""","""No""",0,""""""
930,73,"""Red""","""Aidan L 6421""",2024wimi,2,1,0,None,1,0,0,"""Wing""","""Not Attempted""",2,"""Source(Fed By Human Player)""","""No""",0,""""""
930,82,"""Red""","""Kabao 6381""",2024wimi,1,2,0,"""Wing""",2,0,0,"""Subwoofer"", ""Podium""","""Parked""",3,"""Ground""","""No""",1,""""""
1091,4,"""Red""","""Ethan 930""",2024wimi,1,0,0,None,2,0,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,"""They had a hard time picking g notes up."""
1091,16,"""Red""","""""",2024wimi,3,1,0,"""Wing""",1,0,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,"""Didn't shoot accurately"""
1091,24,"""Blue""","""Richard 6421""",2024wimi,4,1,0,None,0,0,0,None,"""Not Attempted""",3,Neither,"""No""",1,"""Played In front of the red speker """
1091,32,"""Red""","""Nathan 6421""",2024wimi,3,0,0,None,0,0,0,None,"""Single Climb""",2,Neither,"""No""",1,""""""
1091,42,"""Red""","""Jay 1675""",2024wimi,2,0,1,"""Center Line""",0,2,0,"""Wing"", ""Center Line""","""Single Climb""",1,Neither,"""No""",0,"""Did an ok job scoring and climbing"""
1091,48,"""Blue""","""Shane 6381""",2024wimi,3,0,0,None,5,0,0,"""Subwoofer""","""Harmonized""",3,"""Ground""","""No""",0,""""""
1091,55,"""Blue""","""Nikolae Munguia 6381""",2024wimi,3,0,0,None,0,0,0,None,"""Single Climb""",3,"""Ground""","""Yes - Part Of Match""",0,"""Didn't preform well, was disabled in the beginning, but was able to climb in the end."""
1091,65,"""Red""","""Noah 1675""",2024wimi,3,2,0,"""Wing""",3,0,0,"""Subwoofer""","""Attempted But Failed""",3,"""Ground""","""No""",0,""""""
1091,74,"""Blue""","""Dhakshesh K 5148""",2024wimi,3,0,0,"""Wing""",4,0,0,"""Wing"", ""Center Line""","""Single Climb""",2,"""Ground""","""No""",1,"""Multiple missed shots into speaker, hit and bounced off. Driving was good and confident, mire of a mechanical issue than drive team"""
1259,8,"""Blue""","""Aidan 6421""",2024wimi,2,1,0,None,0,0,0,None,"""Parked""",3,Neither,"""No""",0,""""""
1259,13,"""Red""","""Casey Frahmann 6421""",2024wimi,3,0,0,None,0,0,0,None,"""Not Attempted""",3,Neither,"""Yes - Rest Of Match""",0,"""Broke early, didn't see much done"""
1259,21,"""Red""","""Noah Dinan 1675""",2024wimi,4,1,0,None,0,0,0,None,"""Single Climb""",1,"""Ground""","""No""",2,""""""
1259,21,"""Red""","""Aidan L 6421""",2024wimi,3,1,0,None,0,0,0,None,"""Harmonized""",3,"""Neither""","""No""",1,""""""
1259,35,"""Red""","""Kai 1675""",2024wimi,3,1,0,"""Wing""",3,3,0,"""Subwoofer"", ""Wing""","""Harmonized""",2,"""Ground""","""No""",0,""""""
1259,42,"""Blue""","""Susheel Kumar Kata 5148""",2024wimi,4,1,0,None,6,1,0,"""Subwoofer""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
1259,51,"""Blue""","""Logan W 930""",2024wimi,3,0,0,"""Wing""",0,4,0,None,"""Parked""",1,"""Ground""","""No""",2,"""Consistent amp shooting, auto attempted to shoot in speaker but fell short, lays good defense for second half of match."""
1259,63,"""Blue""","""Michael 1675""",2024wimi,2,0,0,None,0,0,0,None,"""Single Climb""",3,"""Ground""","""No""",2,""""""
1259,72,"""Red""","""Casey Frahmann 6421""",2024wimi,3,0,0,None,4,2,0,"""Subwoofer"", ""Center Line""","""Parked""",1,"""Ground""","""No""",0,"""Cannot climb, but good at scoring speaker"""
1259,80,"""Red""","""Lauren 5148""",2024wimi,3,1,0,"""Wing""",2,2,0,"""Subwoofer"", ""Podium""","""Single Climb""",2,"""Ground""","""No""",0,""""""
1259,90,"""Blue""","""Liam 6421""",2024wimi,2,3,0,"""Wing""",3,3,0,"""Subwoofer"", ""Podium""","""Parked""",1,"""Ground""","""No""",0,""""""
1306,9,"""Red""","""Evan 930""",2024wimi,2,1,0,None,0,0,0,None,"""Parked""",3,"""Ground""","""No""",1,""""""
1306,16,"""Blue""","""Keegan 930""",2024wimi,4,1,0,None,0,3,0,None,"""Parked""",2,"""Ground""","""No""",0,""""""
1306,23,"""Blue""","""Michael 1675""",2024wimi,4,1,0,None,0,0,0,None,"""Parked""",3,"""Ground""","""No""",2,""""""
